file	parsed
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	BUFALINO v. HOLLAND, 364 U.S. 863 (U.S. 10-17-1960) United States Supreme Court.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	BUFALINO v. HOLLAND, DISTRICT DIRECTOR, IMMIGRATION AND NATURALIZATION SERVICE.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	No. 254.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	October 17, 1960.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	Leon H. Kline for petitioner.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	Solicitor General Rankin, Assistant Attorney General Wilkey, Beatrice Rosenberg and Theodore George Gilinsky for respondent.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	C.A.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	3d Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/ffe9aa0960327eb4.xml	Reported below: 277 F. 2d 270 .
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	PENNINGTON v. U.S., 549 U.S. 1067 (2006) 127 S.Ct.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	694 PENNINGTON v. UNITED STATES.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	No. 06-7351.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	November 27, 2006.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	Certiorari Denied.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	C.A.
supreme_court_of_the_united_states/documents/9b5a4a624df1ad9a.xml	8th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	NESE v. JULIAN, 546 U.S. 1003 (2005) 126 S.Ct.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	623 NESE v. JULIAN NORDIC CONSTRUCTION CO. ET AL. No. 05-277.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	November 7, 2005.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	Certiorari Denied C.A.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	7th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/6cb17c63cc354e39.xml	Reported below: 405 F. 3d 638 .
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	HERRERA v. U.S., 546 U.S. 802 (2005) 126 S.Ct.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	103 HERRERA v. UNITED STATES.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	No. 04-10379.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	October 3, 2005.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	10th Cir. No. 04-10394.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	MARSHALL v. UNITED STATES.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	C.A.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	9th Cir. Reported below: 120 Fed. Appx. 680;Motions of petitioners for leave to proceed in forma pauperis granted.
supreme_court_of_the_united_states/documents/469b0fd943c73eda.xml	Certiorari granted, judgments vacated, and cases remanded for further consideration in light of United States v. Booker , 543 U. S. 220 (2005).
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	SIMS v. MILLER-STOUT, 546 U.S. 1038 (2005) 126 S.Ct.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	744 SIMS v. MILLER-STOUT, SUPERINTENDENT, AIRWAY HEIGHTS CORRECTIONS CENTER.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	No. 05-6518.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	November 28, 2005.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	Certiorari Denied C.A.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	9th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	Reported below: 136 Fed. Appx. 78.
supreme_court_of_the_united_states/documents/f33e7ef4f1418865.xml	Page 1039
supreme_court_of_the_united_states/documents/72589ddc3585161a.xml	BOY SCOUTS OF AMERICA v. BARNES-WALLACE, 08-1222 (U.S. 5-3-2010) 130 S.Ct.
supreme_court_of_the_united_states/documents/72589ddc3585161a.xml	2401 BOY SCOUTS OF AMERICA, ET AL. v. LORI BARNES-WALLACE, ET AL No. 08-1222 May 3, 2010.
supreme_court_of_the_united_states/documents/72589ddc3585161a.xml	The petitions for writs of certiorari are denied.
supreme_court_of_the_united_states/documents/72589ddc3585161a.xml	Page 3
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	MELENDEZ v. U.S., 541 U.S. 1080 (2004) MELENDEZ v. UNITED STATES.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE THIRD CIRCUIT.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	No. 03-10011.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	June 1, 2004.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	C.A.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	3d Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/4ccbb0c96c4524e6.xml	Reported below: 88 Fed. Appx. 529.
