,phrase_id,first_ws_index,total_ws,total,phrase_stem
0,0,0,2,5,defend seek revers basi insuffici evid swim upstream
1,1,1,1,7,right assist counsel waiv
2,2,0,1,1,must consid state prior art shown refer employ also reflect appel specif
3,3,0,1,1,privat properti land extend low-wat mark
4,5,0,2,2,alien immigr proceed entitl reason complet accur record facilit appel review consid issu
5,6,0,1,1,distinct violat law grow transact constitut separ offens
6,7,0,1,1,absenc proper except trial court rule motion direct verdict preclud appel court review rule
7,9,0,1,1,defend right meaning relationship appoint counsel
8,10,0,1,1,one unlaw object suffici find § 8 b 4 violat although might law object
9,11,0,1,1,retrospect creativ develop often appear commonplac
10,12,0,1,1,entrap complet defens crimin design origin govern agent induc citizen persuas deceit commit crime would commit absenc induc three thing occur
11,13,0,1,2,rule 60 b 6 serv substitut appeal
12,14,0,1,2,crimin case defend gener charact cannot attack govern unless evid good charact first introduc defend
13,15,7,1,11,specif statut control gener statut
14,16,0,1,1,sentenc guidelin appli offens straddl effect date guidelin novemb 1 1987
15,17,-1,0,6,take disput fact account
16,18,0,1,1,issu resolv given preclus effect actual litig determin valid final judgment
17,19,0,1,1,proceed deport alien immigr statut may summari sens trial crime offens govern rule trial plead evid even hearsay evid inadmiss decis execut offic charg execut deport act arriv fair hear upon substanti evid abus discret commit statut final habea corpu court cannot decid controvert question fact must accept find immigr author absenc depriv fair opportun heard unfair action
18,20,0,1,1,doctrin merger appli effect would prejudic right innoc third person
19,21,0,1,1,govern may invok defens estoppel prevent carrier recov addit charg carrier caus govern reli detriment lower rate
20,22,0,1,1,duti everi citizen commun govern knowledg violat law commun privileg protect ground public polici
21,24,0,1,1,conflict law rule forum state oklahoma must appli determin applic law
22,25,0,1,1,upon consider evid whole suffici foundat laid support introduct contradictori evid goe weight assign trier fact admiss
23,26,0,1,1,saa violat compel abandon usual rule concern causat neglig lawyer judg fond
24,27,0,1,1,defend reli upon oral testimoni show anticip must clear convinc beyond reason doubt
25,28,0,1,1,unit state sovereign immun liabl tort commit independ contractor
26,30,-1,0,6,exclud delay one defend may ascrib codefend case absent sever
27,31,0,1,1,court review denial benefit erisa polici abus discret polici grant administr fiduciari final conclus discretionari author
28,32,0,1,1,local board requir take action concern request chang classif file registr refus induct
29,33,1,1,3,import indic prob valu evid prosecut need evid prove case
30,34,0,1,1,juror shown actual bia exclud mere member particular occup even law enforc
31,35,1,1,2,even charg enter countri illeg entitl due process threaten deport
32,36,0,1,1,extent cross-examin sound discret court wider latitud allow cross-examin parti
33,37,0,1,1,right gain copyright act may abandon
34,38,0,2,3,doubl award injuri impermiss
35,39,0,1,1,court appeal entertain appeal final judgment order grant new trial final judgment
36,40,113,1,212,ident word use differ part act intend mean
37,42,0,1,1,discriminatori enforc otherwis neutral zone practic may evid illeg discrimin
38,43,0,1,1,grade larceni consequ punish depend valu properti essenti valu properti alleg proven
39,44,0,1,1,clearli erron standard review appli find fact even district court reli sole written record
40,46,0,1,1,one criteria mention § 2 11 need present justifi find question occup supervisori
41,47,0,1,1,district court must explain reason depart guidelin
42,48,0,1,1,produc manufactur ship motion pictur film one state lesse anoth state exhibit lesse engag interst commerc
43,49,0,1,2,alj may pose hypothet question vocat expert requir incorpor limit accept credibl finder fact
44,50,0,1,1,hire fire transfer govern employe base polit motiv violat first amend certain except policymak posit employe confidenti relationship superior
